note_id,onset,offset,score_position,score_position_offset,note,midi_number,note_duration,bar_id,bar_position
0,2.979543333,3.29318,-0.25,0.0,D4,62,0.25,-1,3.75
1,3.29318,4.234089999999999,0.0,0.75,D4,62,0.75,0,0.0
2,4.234089999999999,5.175,0.0,0.75,D4,62,0.75,0,0.0
3,5.175,5.525,0.75,1.0,E4,64,0.25,0,0.75
5,5.50454,5.75454,1.0,1.25,F4,65,0.25,0,1.0
6,5.75454,6.025,1.25,1.5,G4,67,0.25,0,1.25
7,6.025,6.275,1.5,1.75,A4,69,0.25,0,1.5
8,6.275,6.60455,1.75,2.0,Bb4,70,0.25,0,1.75
9,6.60455,6.88409,2.0,2.25,C#4,61,0.25,0,2.0
10,6.88409,7.19546,2.25,2.5,Bb4,70,0.25,0,2.25
11,7.19546,7.445449999999999,2.5,2.75,A4,69,0.25,0,2.5
12,7.445449999999999,7.70454,2.75,3.0,G4,67,0.25,0,2.75
13,7.70454,8.565909999999999,3.0,3.75,E5,76,0.75,0,3.0
14,8.73409,8.95454,3.75,4.0,G4,67,0.25,0,3.75
15,8.99546,9.2841,4.0,4.25,F4,65,0.25,1,0.0
16,9.2841,9.5455,4.25,4.5,C#4,61,0.25,1,0.25
17,9.5455,9.725,4.5,4.75,D4,62,0.25,1,0.5
18,9.8341,10.1659,4.75,5.0,A3,57,0.25,1,0.75
19,10.1659,10.4341,5.0,5.25,Bb3,58,0.25,1,1.0
20,10.4341,10.725,5.25,5.5,D4,62,0.25,1,1.25
21,10.725,11.025,5.5,5.75,F4,65,0.25,1,1.5
22,11.025,11.2955,5.75,6.0,G4,67,0.25,1,1.75
23,11.4159,11.625,6.0,6.25,C#4,61,0.25,1,2.0
24,11.6341,11.9455,6.25,6.5,A3,57,0.25,1,2.25
25,11.9455,12.1545,6.5,6.75,C#4,61,0.25,1,2.5
26,12.1545,12.475,6.75,7.0,E4,64,0.25,1,2.75
27,12.4841,12.725,7.0,7.166666667,A4,69,0.166666667,1,3.0
28,12.725,12.8659,7.166666667,7.333333333,G4,67,0.166666667,1,3.166666667
29,12.8659,13.0545,7.333333333,7.5,F4,65,0.166666667,1,3.333333333
30,13.0659,13.2455,7.5,7.666666667,G4,67,0.166666667,1,3.5
31,13.2455,13.3659,7.666666667,7.833333333,F4,65,0.166666667,1,3.666666667
32,13.375,13.5955,7.833333333,8.0,E4,64,0.166666667,1,3.833333333
33,13.5955,13.9045,8.0,8.25,F4,65,0.25,2,0.0
34,13.9045,14.1545,8.25,8.5,D4,62,0.25,2,0.25
35,14.1545,14.4045,8.5,8.75,F4,65,0.25,2,0.5
36,14.4045,14.675,8.75,9.0,A4,69,0.25,2,0.75
37,14.675,14.8841,9.0,9.166666667,Bb4,70,0.166666667,2,1.0
38,14.8841,15.0545,9.166666667,9.333333333,A4,69,0.166666667,2,1.166666667
39,15.0545,15.275,9.333333333,9.5,G4,67,0.166666667,2,1.333333333
40,15.275,15.4545,9.5,9.666666667,A4,69,0.166666667,2,1.5
41,15.4545,15.615899999999998,9.666666667,9.833333333,G4,67,0.166666667,2,1.666666667
