Onset,Offset,MIDI number,Pitch name,Duration,Staff,Measure,Beat in Measure
-0.25,0.0,62,D4,0.25,0,-1,3.75
0.0,0.75,62,D4,0.75,0,0,0.0
0.75,1.0,64,E4,0.25,0,0,0.75
1.0,1.25,65,F4,0.25,0,0,1.0
1.25,1.5,67,G4,0.25,0,0,1.25
1.5,1.75,69,A4,0.25,0,0,1.5
1.75,2.0,70,Bb4,0.25,0,0,1.75
2.0,2.25,61,C#4,0.25,0,0,2.0
2.25,2.5,70,Bb4,0.25,0,0,2.25
2.5,2.75,69,A4,0.25,0,0,2.5
2.75,3.0,67,G4,0.25,0,0,2.75
3.0,3.75,76,E5,0.75,0,0,3.0
3.75,4.0,67,G4,0.25,0,0,3.75
4.0,4.25,65,F4,0.25,0,1,0.0
4.25,4.5,61,C#4,0.25,0,1,0.25
4.5,4.75,62,D4,0.25,0,1,0.5
4.75,5.0,57,A3,0.25,0,1,0.75
5.0,5.25,58,Bb3,0.25,0,1,1.0
5.25,5.5,62,D4,0.25,0,1,1.25
5.5,5.75,65,F4,0.25,0,1,1.5
5.75,6.0,67,G4,0.25,0,1,1.75
6.0,6.25,61,C#4,0.25,0,1,2.0
6.25,6.5,57,A3,0.25,0,1,2.25
6.5,6.75,61,C#4,0.25,0,1,2.5
6.75,7.0,64,E4,0.25,0,1,2.75
7.0,7.167,69,A4,0.167,0,1,3.0
7.167,7.333,67,G4,0.167,0,1,3.167
7.333,7.5,65,F4,0.167,0,1,3.333
7.5,7.667,67,G4,0.167,0,1,3.5
7.667,7.833,65,F4,0.167,0,1,3.667
7.833,8.0,64,E4,0.167,0,1,3.833
8.0,8.25,65,F4,0.25,0,2,0.0
8.25,8.5,62,D4,0.25,0,2,0.25
8.5,8.75,65,F4,0.25,0,2,0.5
8.75,9.0,69,A4,0.25,0,2,0.75
9.0,9.167,70,Bb4,0.167,0,2,1.0
9.167,9.333,69,A4,0.167,0,2,1.167
9.333,9.5,67,G4,0.167,0,2,1.333
9.5,9.667,69,A4,0.167,0,2,1.5
9.667,9.833,67,G4,0.167,0,2,1.667
9.833,10.0,65,F4,0.167,0,2,1.833
10.0,10.25,64,E4,0.25,0,2,2.0
10.25,10.5,67,G4,0.25,0,2,2.25
10.5,10.75,70,Bb4,0.25,0,2,2.5
10.75,11.0,74,D5,0.25,0,2,2.75
11.0,11.167,72,C5,0.167,0,2,3.0
11.167,11.333,70,Bb4,0.167,0,2,3.167
11.333,11.5,69,A4,0.167,0,2,3.333
11.5,11.667,70,Bb4,0.167,0,2,3.5
11.667,11.833,69,A4,0.167,0,2,3.667
11.833,12.0,67,G4,0.167,0,2,3.833
12.0,12.25,69,A4,0.25,0,3,0.0
12.25,12.5,65,F4,0.25,0,3,0.25
12.5,12.75,69,A4,0.25,0,3,0.5
12.75,13.0,72,C5,0.25,0,3,0.75
13.0,13.25,77,F5,0.25,0,3,1.0
13.25,13.5,79,G5,0.25,0,3,1.25
13.5,13.75,81,A5,0.25,0,3,1.5
13.75,14.0,72,C5,0.25,0,3,1.75
14.0,14.25,74,D5,0.25,0,3,2.0
14.25,14.5,69,A4,0.25,0,3,2.25
14.5,14.75,70,Bb4,0.25,0,3,2.5
14.75,15.0,74,D5,0.25,0,3,2.75
15.0,15.25,79,G5,0.25,0,3,3.0
15.25,15.5,81,A5,0.25,0,3,3.25
15.5,15.75,82,Bb5,0.25,0,3,3.5
15.75,16.0,74,D5,0.25,0,3,3.75
16.0,16.25,76,E5,0.25,0,4,0.0
16.25,16.5,70,Bb4,0.25,0,4,0.25
16.5,16.75,72,C5,0.25,0,4,0.5
16.75,17.0,67,G4,0.25,0,4,0.75
17.0,17.25,69,A4,0.25,0,4,1.0
17.25,17.5,70,Bb4,0.25,0,4,1.25
17.5,17.75,72,C5,0.25,0,4,1.5
17.75,18.0,64,E4,0.25,0,4,1.75
18.0,18.25,65,F4,0.25,0,4,2.0
18.25,18.5,57,A3,0.25,0,4,2.25
18.5,18.75,58,Bb3,0.25,0,4,2.5
18.75,19.0,67,G4,0.25,0,4,2.75
19.0,19.25,60,C4,0.25,0,4,3.0
19.25,19.5,64,E4,0.25,0,4,3.25
19.5,19.75,67,G4,0.25,0,4,3.5
19.75,20.0,70,Bb4,0.25,0,4,3.75
20.0,20.25,69,A4,0.25,0,5,0.0
20.25,20.5,67,G4,0.25,0,5,0.25
20.5,20.75,65,F4,0.25,0,5,0.5
20.75,21.0,69,A4,0.25,0,5,0.75
21.0,21.25,74,D5,0.25,0,5,1.0
21.25,21.5,65,F4,0.25,0,5,1.25
21.5,21.75,64,E4,0.25,0,5,1.5
21.75,22.0,62,D4,0.25,0,5,1.75
22.0,22.25,61,C#4,0.25,0,5,2.0
22.25,22.5,76,E5,0.25,0,5,2.25
22.5,22.75,77,F5,0.25,0,5,2.5
22.75,23.0,79,G5,0.25,0,5,2.75
23.0,23.25,69,A4,0.25,0,5,3.0
23.25,23.5,79,G5,0.25,0,5,3.25
