onset,offset,key,degree,quality,inversion,roman number
0,2,d,1,m,0,i
2,4,d,5,D7,1,V65
4,5,d,1,m,0,i
5,6,d,4,M,1,iv6
6,8,d,5,M,0,V
8,10,d,1,m,0,i
10,11,d,7/3,h7,0,vii=7/III
11,12,d,5/3,D7,1,V7/III
12,14,d,3,M,0,III
14,16,d,4,m,1,iv6
16,17,d,5/3,D7,2,V43/III
17,19,d,3,M,0,III
19,20,d,5/3,D7,0,V7/III
20,22,d,1,m,0,i
22,24,d,5,D7,1,V65
24,26,d,1,m,0,i
26,28,d,5/5,D7,0,V7/V
28,29,a,1,m,0,i
29,30,a,6,M,2,VI64
30,31,a,7,M,0,VII
31,32,a,5,m,2,v64
32,34,a,4,M,1,IV6
34,36,a,5,M,0,V
36,40,a,5,D7,0,V7
40,40.5,a,1,m,1,i6
40.5,41,a,6,M,2,VI64
41,41.5,a,7,M,1,VII6
41.5,42,a,5,m,2,v64
42,42.5,a,6,M,1,VI6
42.5,43,a,4,m,2,iv64
43,43.5,a,5,M,1,v6
43.5,44,a,3,M,2,III64
44,44.5,a,4,m,1,iv6
44.5,45,a,2,d,2,ii-64
45,45.5,a,3,a,1,III+6
45.5,46,a,1,m,2,i64
46,52,a,b2,M,1,N6
52,54,a,7,d7,0,vii-7
54,56,a,5,D7,1,V65
56,57,a,1,m,0,i
57,58,a,5,D7,0,V7
58,59,a,1,m,0,i
59,60,a,5/4,D7,3,V2/iv
60,61,a,4,m,0,iv
61,62,a,7,d7,2,vii-43
62,64,a,1,M,0,I
64,66,d,5,M,0,V
66,68,d,5,D7,2,V43
68,69,d,1,m,0,i
69,70,d,6,M,1,VI6
70,71,d,7,m7,0,VII7
71,72,d,5/6,D7,1,V65/VI
72,73,d,6,M7,0,VI
73,74,d,b2,a,0,bII+
74,75,d,7,M,0,vii
75,76,d,7/4,h7,3,vii=2/iv
76,78,d,5/4,D7,0,V7/iv
78,78.5,g,1,m,2,i64
78.5,79,g,6,M,2,VI64
79,79.5,g,7,M,1,VII6
79.5,80,g,5,m,2,v64
80,80.5,g,4,M,1,IV6
80.5,81,g,4,m,2,iv64
81,81.5,g,5,m,1,v6
81.5,82,g,3,M,2,III64
82,83,g,6,M,0,VI
83,84,g,2,h7,0,ii=7
84,86,g,5,D7,0,V7
86,87,g,1,m,0,i
87,88,g,5,D7,0,V7
88,89,d,4,m,0,iv
89,90,d,4,m7,0,iv7
90,92,d,5/3,D7,0,V7/III
92,94,d,3,M,0,III
94,95,d,5/3,M,0,V/III
95,96,d,5/3,D7,3,V2/III
96,98,d,1,m,0,i
98,99,d,5,m,0,v
99,100,d,5/6,D7,2,V43/VI
100,102,d,6,M,0,VI
102,103,d,2,d,0,ii-
103,104,d,5/3,D7,0,V7/III
104,105,d,3,M,2,III64
105,106,d,5/3,D7,0,V7/III
106,107,d,3,M,0,III
107,108,d,1,m,0,i
108,109,d,2/5,h7,0,ii=7/V
109,111,d,5,D7,0,V7
111,112,d,1,m,0,i
112,113,d,4,m7,0,iv7
113,114,d,5/6,D7,1,V65/VI
114,115,d,6,M,0,VI
115,116,d,4,m,0,iv
116,117,d,2,h7,0,ii=7
117,118,d,5/4,D7,1,V65/iv
118,119,d,4,m,0,iv
119,122,d,b2,M,1,N6
122,124,d,5,D7,0,V7
124,125,d,1,m,1,i6
125,126,d,5,D7,0,V7
126,128,d,1,m,0,i
