note_id,onset,offset,score_position,score_position_offset,note,midi_number,note_duration,bar_id,bar_position
0,2.972154195,5.804988662,0.0,1.5,Eb4,63,1.5,0,0.0
1,5.804988662,6.222947846,1.5,2.0,Eb4,63,0.5,0,1.5
2,6.2455,7.0545,2.0,3.0,F4,65,1.0,0,2.0
3,7.1659,8.1545,3.0,4.0,Ab4,68,1.0,0,3.0
4,8.1545,9.0341,4.0,5.0,Bb4,70,1.0,1,0.0
5,9.0341,9.4159,5.0,5.5,Ab4,68,0.5,1,1.0
6,9.5545,9.9341,5.5,6.0,Bb4,70,0.5,1,1.5
7,10.5159,11.9841,6.0,8.0,C5,72,2.0,1,2.0
8,12.3659,13.2841,8.0,9.5,Eb5,75,1.5,2,0.0
9,13.3545,13.8659,9.5,10.0,C5,72,0.5,2,1.5
10,13.8659,14.3159,10.0,10.5,C5,72,0.5,2,2.0
11,14.3159,14.7455,10.5,11.0,Bb4,70,0.5,2,2.5
12,14.7455,15.6341,11.0,12.0,Ab4,68,1.0,2,3.0
13,15.6341,18.5841,12.0,16.0,Bb4,70,4.0,3,0.0
14,18.875,20.1545,16.0,17.5,C5,72,1.5,4,0.0
15,18.7045,19.8545,16.0,18.0,Ab4,68,2.0,4,0.0
16,20.1659,20.6955,17.5,18.0,Eb5,75,0.5,4,1.5
17,20.34243333,20.6955,18.0,19.0,Eb5,75,1.0,4,2.0
18,20.6955,21.4841,18.0,20.0,Gb4,66,2.0,4,2.0
19,21.5841,21.925,19.0,19.5,C5,72,0.5,4,3.0
20,21.925,21.9455,19.5,20.0,C#5,73,0.5,4,3.5
21,22.5159,23.8545,20.0,21.5,Ab4,68,1.5,5,0.0
22,22.5841,24.4159,20.0,22.0,F4,65,2.0,5,0.0
23,23.8341,24.2659,21.5,22.0,Bb4,70,0.5,5,1.5
24,23.92046,24.2659,22.0,24.0,Bb4,70,2.0,5,2.0
25,24.2659,26.2045,22.0,24.0,Fb4,64,2.0,5,2.0
26,26.4455,27.3545,24.0,25.5,Eb4,63,1.5,6,0.0
27,27.9045,28.6545,25.5,26.0,C5,72,0.5,6,1.5
28,28.6545,29.225,26.0,27.0,C5,72,1.0,6,2.0
29,29.275,30.125,27.0,28.0,Bb4,70,1.0,6,3.0
30,30.125,30.775,28.0,29.5,Ab4,68,1.5,7,0.0
31,31.6955,31.8455,29.5,30.0,Ab4,68,0.5,7,1.5
32,34.7045,35.0159,32.0,33.5,Bb5,82,1.5,8,0.0
33,35.0159,35.0159,33.5,34.0,C6,84,0.5,8,1.5
34,35.8545,36.375,34.0,35.0,C6,84,1.0,8,2.0
35,36.375,36.775,35.0,35.5,Bb5,82,0.5,8,3.0
36,36.8159,37.2659,35.5,36.0,Ab5,80,0.5,8,3.5
