onset,offset,expression
0,16,mp
16,32,p
32,44,mp
44,48,f
48,64,mp
64,96,p
96,108,mf
108,112,f
112,124,mp
124,131.5,p
131.5,140,pp
140,143,ppp
4,6,legato
8,10,legato
16,17.5,legato
19,20,legato
20,22,legato
24,26,legato
32,34,legato
35,36,legato
36,38,legato
46,48,legato
48,49,legato
49,50,legato
51,52,legato
53,54,legato
56,58,legato
64,66,legato
68,70,legato
68,69,legato
69,70,legato
70,71,legato
71,72,legato
72,73.5,legato
74,75,legato
75,76,legato
76,77.5,legato
76,78,legato
82,83,legato
83,84,legato
84,86,legato
88.25,89,legato
89,89.5,legato
89.5,90,legato
90,91,legato
91,92,legato
92,94,legato
96,98,legato
96,98,legato
99,100,legato
100,101,legato
104,104.5,legato
104.5,105,legato
105,105.5,legato
105.5,106,legato
106,106.5,legato
106.5,107,legato
107,107.5,legato
107.5,108,legato
115,116,legato
116,118,legato
120,121.5,legato
122,123,legato
123,124,legato
133,134,legato
30,32,cresc
40,43,cresc
52,53,rit
53.5,54,dim
77.5,79.5,dim
92,94,dim
106,107.75,cresc
110,111.5,dim
118,119,dim
120,120.5,rit
134.5,136,dim
