Onset,Offset,MIDI number,Pitch name,Duration,Staff,Measure,Beat in Measure
0.0,1.5,63,Eb4,1.5,0,0,0.0
1.5,2.0,63,Eb4,0.5,0,0,1.5
2.0,3.0,65,F4,1.0,0,0,2.0
3.0,4.0,68,Ab4,1.0,0,0,3.0
4.0,5.0,70,Bb4,1.0,0,1,0.0
5.0,5.5,68,Ab4,0.5,0,1,1.0
5.5,6.0,70,Bb4,0.5,0,1,1.5
6.0,8.0,72,C5,2.0,0,1,2.0
8.0,9.5,75,Eb5,1.5,0,2,0.0
9.5,10.0,72,C5,0.5,0,2,1.5
10.0,10.5,72,C5,0.5,0,2,2.0
10.5,11.0,70,Bb4,0.5,0,2,2.5
11.0,12.0,68,Ab4,1.0,0,2,3.0
12.0,16.0,70,Bb4,4.0,0,3,0.0
16.0,17.5,72,C5,1.5,0,4,0.0
16.0,18.0,68,Ab4,2.0,0,4,0.0
17.5,18.0,75,Eb5,0.5,0,4,1.5
18.0,19.0,75,Eb5,1.0,0,4,2.0
18.0,20.0,66,Gb4,2.0,0,4,2.0
19.0,19.5,72,C5,0.5,0,4,3.0
19.5,20.0,75,Eb5,0.5,0,4,3.5
20.0,22.0,65,F4,2.0,0,5,0.0
20.0,21.5,68,Ab4,1.5,0,5,0.0
21.5,22.0,70,Bb4,0.5,0,5,1.5
22.0,24.0,70,Bb4,2.0,0,5,2.0
22.0,24.0,64,Fb4,2.0,0,5,2.0
24.0,25.5,63,Eb4,1.5,0,6,0.0
25.5,26.0,72,C5,0.5,0,6,1.5
26.0,27.0,72,C5,1.0,0,6,2.0
27.0,28.0,70,Bb4,1.0,0,6,3.0
28.0,29.5,68,Ab4,1.5,0,7,0.0
29.5,30.0,68,Ab4,0.5,0,7,1.5
30.0,30.5,72,C5,0.5,0,7,2.0
30.5,31.0,75,Eb5,0.5,0,7,2.5
31.0,31.5,77,F5,0.5,0,7,3.0
31.5,32.0,80,Ab5,0.5,0,7,3.5
32.0,33.5,82,Bb5,1.5,0,8,0.0
33.5,34.0,84,C6,0.5,0,8,1.5
34.0,35.0,84,C6,1.0,0,8,2.0
35.0,35.5,82,Bb5,0.5,0,8,3.0
35.5,36.0,80,Ab5,0.5,0,8,3.5
36.0,37.0,77,F5,1.0,0,9,0.0
37.0,37.5,75,Eb5,0.5,0,9,1.0
37.5,38.0,77,F5,0.5,0,9,1.5
38.0,40.0,80,Ab5,2.0,0,9,2.0
40.0,40.5,61,Db4,0.5,0,10,0.0
40.0,40.5,65,F4,0.5,0,10,0.0
40.5,41.5,61,Db4,1.0,0,10,0.5
40.5,41.5,65,F4,1.0,0,10,0.5
41.5,42.0,68,Ab4,0.5,0,10,1.5
41.5,42.0,63,Eb4,0.5,0,10,1.5
42.0,43.0,62,D4,1.0,0,10,2.0
42.0,43.0,70,Bb4,1.0,0,10,2.0
43.0,44.0,65,F4,1.0,0,10,3.0
43.0,44.0,72,C5,1.0,0,10,3.0
44.0,46.0,75,Eb5,2.0,0,11,0.0
44.0,48.0,67,G4,4.0,0,11,0.0
46.0,46.5,75,Eb5,0.5,0,11,2.0
46.5,47.5,77,F5,1.0,0,11,2.5
47.5,48.0,75,Eb5,0.5,0,11,3.5
48.0,49.0,75,Eb5,1.0,0,12,0.0
48.0,48.5,72,C5,0.5,0,12,0.0
48.5,49.0,70,Bb4,0.5,0,12,0.5
49.0,50.0,75,Eb5,1.0,0,12,1.0
49.0,49.5,68,Ab4,0.5,0,12,1.0
49.5,50.0,67,G4,0.5,0,12,1.5
50.0,52.0,66,Gb4,2.0,0,12,2.0
50.0,51.0,77,F5,1.0,0,12,2.0
51.0,51.5,75,Eb5,0.5,0,12,3.0
51.5,52.0,72,C5,0.5,0,12,3.5
52.0,53.0,72,C5,1.0,0,13,0.0
52.0,54.0,65,F4,2.0,0,13,0.0
53.0,53.5,70,Bb4,0.5,0,13,1.0
53.5,54.0,68,Ab4,0.5,0,13,1.5
54.0,56.0,65,F4,2.0,0,13,2.0
56.0,57.5,63,Eb4,1.5,0,14,0.0
57.5,58.0,72,C5,0.5,0,14,1.5
58.0,59.0,72,C5,1.0,0,14,2.0
59.0,60.0,70,Bb4,1.0,0,14,3.0
60.0,64.0,68,Ab4,4.0,0,15,0.0
64.0,65.5,63,Eb4,1.5,0,16,0.0
65.5,66.0,63,Eb4,0.5,0,16,1.5
66.0,67.0,65,F4,1.0,0,16,2.0
67.0,68.0,68,Ab4,1.0,0,16,3.0
68.0,68.75,70,Bb4,0.75,0,17,0.0
68.75,68.875,72,C5,0.125,0,17,0.75
68.875,69.0,70,Bb4,0.125,0,17,0.875
69.0,69.5,68,Ab4,0.5,0,17,1.0
69.5,70.0,70,Bb4,0.5,0,17,1.5
70.0,70.75,72,C5,0.75,0,17,2.0
70.75,71.0,77,F5,0.25,0,17,2.75
71.0,71.25,75,Eb5,0.25,0,17,3.0
71.25,71.5,72,C5,0.25,0,17,3.25
71.5,71.75,75,Eb5,0.25,0,17,3.5
71.75,72.0,77,F5,0.25,0,17,3.75
72.0,72.5,79,G5,0.5,0,18,0.0
72.5,73.5,87,Eb6,1.0,0,18,0.5
73.5,74.0,84,C6,0.5,0,18,1.5
74.0,74.25,84,C6,0.25,0,18,2.0
74.25,74.5,85,Db6,0.25,0,18,2.25
74.5,74.75,84,C6,0.25,0,18,2.5
74.75,75.0,82,Bb5,0.25,0,18,2.75
75.0,75.25,80,Ab5,0.25,0,18,3.0
75.25,75.5,84,C6,0.25,0,18,3.25
75.5,75.75,80,Ab5,0.25,0,18,3.5
75.75,76.0,77,F5,0.25,0,18,3.75
76.0,76.5,80,Ab5,0.5,0,19,0.0
76.5,77.5,82,Bb5,1.0,0,19,0.5
77.5,78.0,77,F5,0.5,0,19,1.5
78.0,79.5,82,Bb5,1.5,0,19,2.0
79.5,80.0,83,B5,0.5,0,19,3.5
80.0,81.5,84,C6,1.5,0,20,0.0
81.5,82.0,87,Eb6,0.5,0,20,1.5
82.0,82.5,89,F6,0.5,0,20,2.0
82.5,83.0,87,Eb6,0.5,0,20,2.5
83.0,83.5,84,C6,0.5,0,20,3.0
83.5,84.0,87,Eb6,0.5,0,20,3.5
84.0,85.5,80,Ab5,1.5,0,21,0.0
85.5,86.0,82,Bb5,0.5,0,21,1.5
86.0,88.0,82,Bb5,2.0,0,21,2.0
88.25,88.5,63,Eb4,0.25,0,22,0.25
88.5,88.75,65,F4,0.25,0,22,0.5
88.75,89.0,68,Ab4,0.25,0,22,0.75
89.0,89.25,70,Bb4,0.25,0,22,1.0
89.25,89.5,72,C5,0.25,0,22,1.25
89.5,89.75,77,F5,0.25,0,22,1.5
89.75,90.0,75,Eb5,0.25,0,22,1.75
90.0,90.25,72,C5,0.25,0,22,2.0
90.25,90.5,73,Db5,0.25,0,22,2.25
90.5,90.75,77,F5,0.25,0,22,2.5
90.75,91.0,80,Ab5,0.25,0,22,2.75
91.0,91.75,84,C6,0.75,0,22,3.0
91.75,92.0,82,Bb5,0.25,0,22,3.75
92.0,93.5,82,Bb5,1.5,0,23,0.0
93.5,94.0,80,Ab5,0.5,0,23,1.5
94.0,96.0,80,Ab5,2.0,0,23,2.0
96.0,97.5,70,Bb4,1.5,0,24,0.0
96.0,97.0,67,G4,1.0,0,24,0.0
97.0,98.0,65,F4,1.0,0,24,1.0
97.5,98.0,70,Bb4,0.5,0,24,1.5
98.0,100.0,64,E4,2.0,0,24,2.0
98.0,99.0,72,C5,1.0,0,24,2.0
99.0,99.5,70,Bb4,0.5,0,24,3.0
99.5,100.0,68,Ab4,0.5,0,24,3.5
100.0,100.75,65,F4,0.75,0,25,0.0
100.75,101.0,77,F5,0.25,0,25,0.75
101.0,101.5,75,Eb5,0.5,0,25,1.0
101.5,102.0,77,F5,0.5,0,25,1.5
102.0,104.0,80,Ab5,2.0,0,25,2.0
104.0,104.25,77,F5,0.25,0,26,0.0
104.25,104.5,68,Ab4,0.25,0,26,0.25
104.5,104.75,73,Db5,0.25,0,26,0.5
104.75,105.0,75,Eb5,0.25,0,26,0.75
105.0,105.25,77,F5,0.25,0,26,1.0
105.25,105.5,68,Ab4,0.25,0,26,1.25
105.5,105.75,80,Ab5,0.25,0,26,1.5
105.75,106.0,68,Ab4,0.25,0,26,1.75
106.0,106.25,82,Bb5,0.25,0,26,2.0
106.25,106.5,70,Bb4,0.25,0,26,2.25
106.5,106.75,74,D5,0.25,0,26,2.5
106.75,107.0,77,F5,0.25,0,26,2.75
107.0,107.25,84,C6,0.25,0,26,3.0
107.25,107.5,77,F5,0.25,0,26,3.25
107.5,107.75,86,D6,0.25,0,26,3.5
107.75,108.0,77,F5,0.25,0,26,3.75
108.0,109.5,87,Eb6,1.5,0,27,0.0
109.5,110.0,75,Eb5,0.5,0,27,1.5
110.0,110.5,75,Eb5,0.5,0,27,2.0
110.5,110.75,77,F5,0.25,0,27,2.5
110.75,111.0,79,G5,0.25,0,27,2.75
111.0,111.25,80,Ab5,0.25,0,27,3.0
111.25,111.5,82,Bb5,0.25,0,27,3.25
111.5,111.75,84,C6,0.25,0,27,3.5
111.75,112.0,85,Db6,0.25,0,27,3.75
112.0,113.5,84,C6,1.5,0,28,0.0
112.0,113.5,87,Eb6,1.5,0,28,0.0
113.5,114.0,87,Eb6,0.5,0,28,1.5
113.5,114.0,84,C6,0.5,0,28,1.5
114.0,115.0,84,C6,1.0,0,28,2.0
114.0,115.0,89,F6,1.0,0,28,2.0
115.0,115.5,87,Eb6,0.5,0,28,3.0
115.5,116.0,84,C6,0.5,0,28,3.5
116.0,117.0,80,Ab5,1.0,0,29,0.0
116.0,117.0,84,C6,1.0,0,29,0.0
117.0,117.5,82,Bb5,0.5,0,29,1.0
117.5,118.0,80,Ab5,0.5,0,29,1.5
118.0,120.0,77,F5,2.0,0,29,2.0
120.0,120.5,75,Eb5,0.5,0,30,0.0
120.5,121.5,63,Eb4,1.0,0,30,0.5
121.5,122.0,72,C5,0.5,0,30,1.5
122.0,122.75,72,C5,0.75,0,30,2.0
122.75,123.0,77,F5,0.25,0,30,2.75
123.0,123.75,75,Eb5,0.75,0,30,3.0
123.75,124.0,77,F5,0.25,0,30,3.75
124.0,128.0,80,Ab5,4.0,0,31,0.0
131.5,132.0,80,Ab5,0.5,0,32,3.5
132.0,133.0,80,Ab5,1.0,0,33,0.0
133.0,133.5,79,G5,0.5,0,33,1.0
133.5,134.0,80,Ab5,0.5,0,33,1.5
134.5,135.5,82,Bb5,1.0,0,33,2.5
135.5,136.0,84,C6,0.5,0,33,3.5
