onset,offset,key,degree,quality,inversion,roman number
0,12,e,1,m,0,i
12,16,e,4,m,2,iv64
16,20,e,1,m,0,i
20,24,e,4,m,0,iv
24,28,e,4,m,1,iv6
28,32,e,2,h7,0,ii=7
32,36,e,5,D7,0,V7
36,44,e,1,m,0,i
44,48,e,4,m,2,iv64
48,52,e,1,m,0,i
52,56,e,5/4,D7,0,V7/iv
56,60,e,4,m,1,iv6
60,64,e,5,D7,0,V7
64,68,e,1,m,0,i
68,72,e,5/4,D7,0,V7/iv
72,76,e,4,m,1,iv6
76,80,e,5/4,D7,2,V43/iv
80,84,e,4,m,0,iv
84,88,e,2,h7,0,ii=7
88,92,e,5,D7,1,V65
92,94,e,1,m,0,i
107,108,e,5/4,D7,1,V65/iv
108,110,e,4,m,0,iv
123,124,e,2,h7,0,ii=7
124,126,e,5,D7,0,V7
126,128,e,1,m,2,i64
128,130,e,5,D7,0,V7
130,132,e,1,m,2,i64
132,134,e,5,D7,0,V7
134,136,e,1,m,2,i64
136,138,e,5,D7,0,V7
138,140,e,1,m,1,i6
140,142,e,1,m,0,iv
142,144,e,5/6,D7,1,V65/VI
144,146,e,6,M,0,VI
146,148,e,5,D7,1,V65
148,150,e,1,m,0,i
150,152,e,1,m,2,i64
152,154,e,7/5,d7,0,vii-7/V
166,168,e,5,M,0,V
168,170,e,7/5,d7,0,vii-7/V
182,184,e,5,D7,0,V7
184,186,e,1,m,0,i
188,192,e,1,m,0,i
192,194,e,4,m7,0,iv7
194,196,e,1,m,2,i64
196,198,e,4,m7,1,iv65
198,200,e,5/5,D7,1,V65/VII
200,204,e,5,M,0,VII
204,206,e,7,D7,0,V65
206,208,e,1,m,0,i
210,212,e,6,h7,0,ii=7/V
212,214,e,3,M,2,III64
214,216,e,1,m,0,i
218,220,e,6,h7,0,ii=7/V
220,222,e,3,M,2,III64
222,224,e,5/4,m7,0,v7/iv
224,226,e,4,M,0,IV
226,236,e,5/7,D7,0,V7/VII
236,240,e,5/3,D7,1,V65/III
240,248,e,5/3,D7,1,V65/III
248,257,e,5/6,D7,1,V65/VI
259,260,e,7/4,d7,1,vii-65/iv
260,268,e,4,m,0,iv
268,272,e,7/7,d7,0,vii-7/VII
272,284,d,1,M,0,I
284,288,d,7,d7,0,vii-7
288,300,d,1,M,0,I
300,304,d,7,d7,0,vii-7
304,306,d,1,M,0,I
306,308,d,4/4,m,0,iv64/iv
308,310,d,4,m,2,iv64
310,312,d,5/4,D7,0,V7/iv
312,318,d,4,m,2,iv64
318,320,d,5/b2,D7,1,V65/N6
320,322,d,b2,a6,0,N6
322,324,d,5/b2,D7,1,V65/N6
324,326,d,b2,a6,0,N6
326,328,d,5/b2,D7,1,V65/N6
328,336,d,b2,a6,0,N6
336,344,d,6,M,2,VI64
344,352,d,7,d7,0,vii-7
352,360,d,3,D7,0,III7
360,368,d,5/4,D7,1,V65/iv
368,372,d,4,m,0,iv
372,376,d,5/7,D7,0,V7/vii
376,380,d,7,m,1,vii6
380,384,d,4,M,2,IV64
384,388,d,5,D7,0,V7
388,392,d,7/6,d7,1,vii-65/VI
392,404,d,4,M,0,IV
404,408,d,5/4,D7,0,V7/iv
408,412,G,1,M,0,I
