note_id,onset,offset,score_position,score_position_offset,note,midi_number,note_duration,bar_id,bar_position
0,4.37045,4.60909,2.0,3.5,B5,83,1.5,0,2.0
1,4.92443,5.10909,3.5,4.0,B5,83,0.5,0,3.5
2,5.10909,5.37045,4.0,6.0,B5,83,2.0,1,0.0
3,5.74091,5.92955,6.0,7.0,G5,79,1.0,1,2.0
4,5.97954,6.059089999999999,7.0,8.0,G#5,80,1.0,1,3.0
5,6.349996666999999,7.090909999999999,8.0,10.0,E6,88,2.0,2,0.0
6,7.090909999999999,7.22954,10.0,11.0,B5,83,1.0,2,2.0
7,7.37045,7.45909,11.0,12.0,C#6,85,1.0,2,3.0
8,7.740909999999999,7.9,12.0,13.0,G6,91,1.0,3,0.0
9,8.1205,8.4091,13.0,14.0,E6,88,1.0,3,1.0
10,8.4091,8.7205,14.0,15.0,C6,84,1.0,3,2.0
11,8.7205,9.0909,15.0,16.0,E6,88,1.0,3,3.0
12,9.0909,9.3295,16.0,19.0,B5,83,3.0,4,0.0
13,10.0205,10.4,19.0,20.0,B5,83,1.0,4,3.0
14,10.4,10.7795,20.0,21.0,C6,84,1.0,5,0.0
15,10.7795,10.8795,21.0,21.5,B5,83,0.5,5,1.0
16,10.8795,11.6705,21.5,22.0,A5,81,0.5,5,1.5
17,11.0495,11.3895,22.0,23.0,A5,81,1.0,5,2.0
18,11.3895,11.7295,23.0,24.0,A5,81,1.0,5,3.0
19,11.7295,12.6795,24.0,27.0,E6,88,3.0,6,0.0
20,12.6795,13.0,27.0,28.0,B5,83,1.0,6,3.0
21,13.0,13.3295,28.0,29.0,C6,84,1.0,7,0.0
22,13.3295,13.4409,29.0,29.5,B5,83,0.5,7,1.0
23,13.4409,14.229500000000002,29.5,30.0,A5,81,0.5,7,1.5
24,13.61272,13.95636,30.0,31.0,A5,81,1.0,7,2.0
25,13.95636,14.3,31.0,32.0,A5,81,1.0,7,3.0
26,14.3,14.7,32.0,34.0,Eb6,87,2.0,8,0.0
27,15.0295,15.3,34.0,35.5,B5,83,1.5,8,2.0
28,15.3,15.6,35.5,36.0,B5,83,0.5,8,3.5
29,15.6,16.4091,36.0,38.0,B5,83,2.0,9,0.0
30,16.36666667,16.75,38.0,39.0,G5,79,1.0,9,2.0
31,16.75,17.75,39.0,40.0,E6,88,1.0,9,3.0
32,17.08333333,17.75,40.0,42.0,E6,88,2.0,10,0.0
33,17.75,18.0091,42.0,43.0,B5,83,1.0,10,2.0
34,18.075,18.4,43.0,44.0,G6,91,1.0,10,3.0
35,18.4,18.6705,44.0,45.0,G6,91,1.0,11,0.0
36,18.7409,19.0909,45.0,46.0,E6,88,1.0,11,1.0
37,19.0909,19.4091,46.0,47.0,C6,84,1.0,11,2.0
38,19.4091,19.7909,47.0,48.0,E6,88,1.0,11,3.0
39,19.7909,19.9795,48.0,51.0,B5,83,3.0,12,0.0
40,20.7909,20.9705,51.0,51.5,G5,79,0.5,12,3.0
41,20.9705,21.1205,51.5,52.0,A5,81,0.5,12,3.5
42,21.1205,21.4205,52.0,53.0,B5,83,1.0,13,0.0
43,21.4205,21.4295,53.0,53.5,B6,95,0.5,13,1.0
44,21.5898,21.7591,53.5,54.0,B5,83,0.5,13,1.5
45,21.7591,21.8795,54.0,54.5,D6,86,0.5,13,2.0
46,21.8795,22.1591,54.5,55.0,C6,84,0.5,13,2.5
47,22.0193,22.1591,55.0,55.5,C6,84,0.5,13,3.0
48,22.1591,22.3,55.5,56.0,B5,83,0.5,13,3.5
49,22.3,22.4909,56.0,56.5,E6,88,0.5,14,0.0
50,22.5091,22.65,56.5,57.0,C6,84,0.5,14,0.5
51,22.65,22.8,57.0,57.5,B5,83,0.5,14,1.0
52,22.8,23.55,57.5,58.0,A5,81,0.5,14,1.5
53,22.9641,23.2923,58.0,59.0,A5,81,1.0,14,2.0
54,23.2923,23.6205,59.0,60.0,A5,81,1.0,14,3.0
55,23.6205,23.95,60.0,61.0,F#5,78,1.0,15,0.0
56,23.95,24.2795,61.0,62.0,G5,79,1.0,15,1.0
57,24.2795,24.6295,62.0,63.0,A5,81,1.0,15,2.0
58,24.6295,24.6295,63.0,64.0,B5,83,1.0,15,3.0
59,25.3,25.6091,64.0,66.0,B5,83,2.0,16,0.0
60,25.7091,26.1909,66.0,67.0,G5,79,1.0,16,2.0
61,26.05003333,26.2205,67.0,67.5,G5,79,0.5,16,3.0
62,26.2205,26.3909,67.5,68.0,A5,81,0.5,16,3.5
63,26.3909,26.9909,68.0,69.0,B5,83,1.0,17,0.0
64,26.6909,26.8409,69.0,69.5,B5,83,0.5,17,1.0
65,26.8409,26.9909,69.5,70.0,B5,83,0.5,17,1.5
66,26.9909,27.1409,70.0,70.5,D6,86,0.5,17,2.0
67,27.15,27.45,70.5,71.0,C6,84,0.5,17,2.5
68,27.3,27.45,71.0,71.5,C6,84,0.5,17,3.0
69,27.45,27.6091,71.5,72.0,B5,83,0.5,17,3.5
70,27.6091,27.7795,72.0,72.5,E6,88,0.5,18,0.0
71,27.7795,27.9295,72.5,73.0,C6,84,0.5,18,0.5
