onset,offset,expression
0,92,p
92,139,f
139,155,p
155,166,f
166,190,ff
190,214,mf
214,259.5,pp
259.5,284,p
284,305,f
305,336,p
336,347,f
4,7,legato
8,11,legato
11,16,legato
20,22,legato
24,28,legato
28,30,legato
32,35,legato
32,36,legato
36,39,legato
40,43,legato
43,48,legato
51,53,legato
54,55,legato
55,56,legato
56,58,legato
60,64,legato
64,67,legato
67,69,legato
70,71,legato
71,72,legato
72,74,legato
76,79,legato
76,80,legato
80,83,legato
83,88,legato
94.333,96.333,legato
96.333,98.333,legato
98.333,100.333,legato
100.3333333,102.5,legato
102.5,103.5,legato
110.333,112.333,legato
112.333,114.333,legato
114.333,116.333,legato
116.333,118.333,legato
118.5,119.5,legato
125,126.333,legato
126.333,128.333,legato
128.333,131,legato
131,132.333,legato
132.333,134.333,legato
134.333,136.333,legato
136.333,139,legato
139,140,legato
140,141,legato
141,142,legato
142,143,legato
143,144,legato
144,145,legato
145,146,legato
146,147,legato
147,148,legato
148,149,legato
149,150,legato
150,151,legato
151,152,legato
171.3333333,172,legato
172.3333333,173,legato
173.3333333,174,legato
174.3333333,175,legato
175.3333333,176,legato
176.3333333,177,legato
177.3333333,178,legato
178.3333333,179,legato
179.3333333,180,legato
190,194,legato
194,198,legato
198,200,legato
200,204,legato
204,206,legato
206,210,legato
210,214,legato
214,218,legato
218,222,legato
222,224,legato
226.5,227.5,legato
228.5,229.5,legato
230.5,231.5,legato
232,236,legato
238.5,239.5,legato
240.5,241.5,legato
242.5,243.5,legato
244,248,legato
250.5,251.5,legato
252.5,253.5,legato
254.5,255.5,legato
256,259.5,legato
259.5,260.5,legato
261.5,262.5,legato
263.5,264.5,legato
265.5,266.5,legato
267.5,268.5,legato
305,306,legato
307,308,legato
309,310,legato
311,312,legato
313,314,legato
315,316,legato
317,318,legato
319,320,legato
321,322,legato
323,324,legato
325,326,legato
327,328,legato
329,330,legato
331,332,legato
333,334,legato
335,336,legato
339.5,340.5,legato
343.5,344.5,legato
347.5,348.5,legato
351.5,352.5,legato
355.5,356.5,legato
359.5,360.5,legato
363.5,364.5,legato
367.5,368.5,legato
368.5,372.5,legato
372.5,376.5,legato
376.5,386,legato
406,408,legato
3.5,4,staccato
35.5,36,staccato
91.5,92,staccato
107.5,108,staccato
123.5,124,staccato
92,94,accent
96,96.33333333,accent
98,98.33333333,accent
112,112.3333334,accent
114,114.3333334,accent
116,116.3333334,accent
118,118.3333334,accent
126,126.3333334,accent
128,128.3333334,accent
130,130.3333334,accent
132,132.3333334,accent
134,134.3333334,accent
136,136.3333334,accent
138,139,accent
148,148.3333333,accent
149,149.3333333,accent
150,150.3333333,accent
151,151.3333333,accent
155,156,accent
156,157,accent
157,158,accent
158,159,accent
159,160,accent
160,161,accent
161,162,accent
162,163,accent
163,164,accent
164,166,accent
171,171.3333333,accent
172,172.3333333,accent
173,173.3333333,accent
174,174.3333333,accent
175,175.3333333,accent
176,176.3333333,accent
177,177.3333333,accent
178,178.3333334,accent
179,179.3333334,accent
306,306.3333333,accent
308,308.3333333,accent
310,310.3333333,accent
312,312.3333333,accent
314,314.3333333,accent
316,316.3333333,accent
318,318.3333333,accent
328,328.3333333,accent
330,330.3333333,accent
332,332.3333333,accent
334,334.3333333,accent
8,11,cresc
12,15,dim
20,23,cresc
24,27,dim
28,31,cresc
32,35.5,dim
40,43,cresc
44,47,dim
72,74,cresc
92,94.33333333,dim
102,106,cresc
108,110.3333333,dim
118,122,cresc
142,152,cresc
158,163,cresc
168,180,cresc
190,191,cresc
192,194,dim
194,195,cresc
196,198,dim
208,210,dim
204,207,cresc
214,215,cresc
215,218,dim
222,223,cresc
244,248,cresc
263.5,268,cresc
317,319,dim
328,335,cresc
398,403,cresc
406,408,dim
382,384,dim
