onset,offset,key,degree,quality,inversion,roman number
0,12,G,1,M,0,I
12,16,G,7,d,1,vii-6
16,20,G,5,M,0,V
20,32,G,5,D7,0,V7
32,34,G,6,m,1,vi6
34,36,G,2,m,1,ii6
36,37,G,6,m,0,vi
37,38,G,5/5,D7,1,V65/V
38,40,G,5,M,0,V
40,52,G,1,M,0,I
52,54,G,5,M,1,V6
54,56,G,1,M,0,I
56,60,G,5,M,1,V6
60,64,G,6,m7,0,vi7
64,66,G,5/5,D7,0,V7/V
66,68,G,5,M,2,V64
68,72,G,5/5,D7,0,V7/V
72,76,G,5,M,0,V
76,80,G,1,M,0,I
80,91,G,6,m7,1,vi65
91,92,G,5/2,D7,0,V7/ii
92,93.5,D,5,M,0,V
93.5,94,D,1,M,0,I
94,95.5,D,5,M,0,V
95.5,96,D,1,M,0,I
96,100,D,5,M,0,V
100,101,D,5,D7,1,V65
101,104,D,1,M,0,I
104,108,D,2,m,0,ii
108,109,D,4,m,1,iv6
109,112,D,5,D7,0,V7
112,114,D,1,M,0,I
114,115,D,1,M,2,I64
115,116,D,5,D7,0,V7
116,118,D,1,M,0,I
118,119,D,1,M,2,I64
119,120,D,5,D7,0,V7
120,126,D,1,M,0,I
126,126.5,D,4,M,2,IV64
126.5,127,D,5,D7,0,V7
127,127.5,D,1,M,0,I
127.5,128,D,5,M,0,V
128,129,D,1,M,0,I
129,130,D,1,a,0,I+
130,132,D,2,M,0,IV
132,134,D,5/5,D7,0,V7/V
134,136,D,5,D7,0,V7
136,138,D,1,M,0,I
138,140,D,5,D7,0,V7
140,142,D,1,M,0,I
142,144,D,5,D7,0,V7
144,146,D,1,M,0,I
146,148,D,5,D7,0,V7
148,153,D,1,M,0,I
153,155,D,2,m7,1,ii65
155,156,D,5/5,D7,1,V65/V
156,158,D,1,M,2,I64
158,160,D,5,D7,0,V7
160,162,D,1,M,0,I
162,164,D,5,D7,0,V7
164,168,D,1,M,0,I
168,170,D,5,D7,2,V43
170,172,D,5,D7,0,V7
172,173,D,1,M,0,I
173,174,D,4,M,2,IV64
174,175,D,1,M,0,I
175,176,D,4,M,2,IV64
176,177,D,1,M,0,I
177,178,D,4,M,2,IV64
178,179,D,1,M,0,I
179,180,D,4,M,2,IV64
180,181,D,1,M,0,I
181,182,D,4,M,0,IV
182,184,D,2,m,0,ii
184,185,D,5,D7,3,V2
185,186,D,1,M,1,I6
186,187,D,2,m7,1,ii65
187,188,D,5,D7,0,V7
188,189,D,1,M,0,I
189,190,D,4,M,0,IV
190,192,D,2,m,0,ii
192,194,D,1,M,2,I64
194,196,D,5,D7,2,V7
196,197,D,1,M,1,I6
197,198,D,5,D7,0,V7
198,199,D,1,M,0,I
199,200,D,5,D7,1,V65
200,204,D,1,M,2,I64
204,208,D,5,M,0,V
208,210,D,1,M,0,I
