note_id,onset,offset,score_position,score_position_offset,note,midi_number,note_duration,bar_id,bar_position
0,3.84621,4.03409,0,1,D4,62,1,0,0
1,3.84621,4.03409,0,1,B4,71,1,0,0
2,3.84621,4.03409,0,1,G5,79,1,0,0
3,4.03409,4.31591,1,2.5,G5,79,1.5,0,1
4,4.54545,5.49545,2.5,2.75,G5,79,0.25,0,2.5
5,5.49545,5.63409,2.75,3,G5,79,0.25,0,2.75
6,5.63409,5.76591,3,3.25,F#5,78,0.25,0,3
7,5.76591,5.975,3.25,3.5,G5,79,0.25,0,3.25
8,5.870455,5.975,3.5,3.75,F#5,78,0.25,0,3.5
9,5.975,6.14546,3.75,4,G5,79,0.25,0,3.75
10,6.14546,6.26591,4,4,E5,76,0,1,0
11,6.23409,6.88409,4,5,D5,74,1,1,0
12,6.88409,7.58409,5,6.5,D5,74,1.5,1,1
13,7.58409,7.66591,6.5,6.75,C#5,73,0.25,1,2.5
14,7.66591,7.83409,6.75,7,D5,74,0.25,1,2.75
15,7.83409,7.925,7,7.25,C#5,73,0.25,1,3
16,7.925,8.06591,7.25,7.5,D5,74,0.25,1,3.25
17,8.06591,8.18409,7.5,7.75,C#5,73,0.25,1,3.5
18,8.18523,8.30455,7.75,8,D5,74,0.25,1,3.75
19,8.30455,8.59546,8,8.5,C5,72,0.5,2,0
20,8.59546,9.6455,8.5,9,B4,71,0.5,2,0.5
21,9.6455,9.7341,9,10.5,C5,72,1.5,2,1
22,9.7341,9.825,10.5,11,D5,74,0.5,2,2.5
23,9.825,9.9455,11,11,B4,71,0,2,3
25,9.9545,10.1545,11,11.5,D5,74,0.5,2,3
26,10.1955,10.3159,11.5,12,E5,76,0.5,2,3.5
27,10.5045,10.7841,12,12.5,G4,67,0.5,3,0
28,10.6443,10.7841,12.5,13,F#4,66,0.5,3,0.5
29,10.7841,11.4545,13,14,F#4,66,1,3,1
31,13.275,13.9659,16,18,A5,81,2,4,0
32,12.6455,14.7545,16,17,D4,62,1,4,0
33,12.6955,13.5955,16,17,A4,69,1,4,0
35,13.89117059,13.9659,18,18.25,A5,81,0.25,4,2
36,13.9659,14.0659,18.25,18.5,G5,79,0.25,4,2.25
37,14.0659,14.1659,18.5,18.75,F#5,78,0.25,4,2.5
38,14.1659,14.2341,18.75,19,G5,79,0.25,4,2.75
39,14.3955,14.4455,19,19.25,A5,81,0.25,4,3
40,14.4455,14.5545,19.25,19.5,B5,83,0.25,4,3.25
41,14.575,14.6841,19.5,19.75,A5,81,0.25,4,3.5
42,14.6841,14.825,19.75,20,B5,83,0.25,4,3.75
43,14.8455,14.8455,20,20.75,C6,84,0.75,5,0
44,15.2659,15.3955,20.75,21,A5,81,0.25,5,0.75
45,15.4045,15.675,21,22.75,C6,84,1.75,5,1
46,16.275,16.4545,22.75,23,A5,81,0.25,5,2.75
47,16.4545,16.975,23,24.5,C6,84,1.5,5,3
48,17.1545,17.1545,24.5,25,B5,83,0.5,6,0
49,17.3955,17.6045,25,25.5,A5,81,0.5,6,0.5
50,17.675,17.675,25.5,26,B5,83,0.5,6,1
