onset,offset,expression
0,82,f
82,84,p
84,86,f
86,130,p
130,164,f
164,180,p
180,211,f
1,3,legato
2.5,3,legato
3,3.5,legato
3,4,legato
3.5,4,legato
4,5,legato
5,7,legato
6.5,7,legato
7,7.5,legato
7,8,legato
7.5,8,legato
8,9,legato
9,11,legato
12,13,legato
18,19,legato
19,20,legato
20,21,legato
21,22.75,legato
22,23,legato
26,28,legato
28,30,legato
30,32,legato
32,34,legato
34,36,legato
36,39,legato
39,40,legato
50,51,legato
51,51.5,legato
52,54,legato
54,55,legato
56,58,legato
59,60,legato
59,61,legato
60,61,legato
63,63.5,legato
64,65,legato
66,67,legato
68,69,legato
70,71.5,legato
70,72,legato
72,74,legato
72.5,74,legato
74,76,legato
78.5,79,legato
79.5,80,legato
80,82,legato
82,84,legato
84,86,legato
86,88,legato
88,89,legato
89,90,legato
90,92,legato
97.5,98,legato
98,100,legato
101.5,103,legato
103,104,legato
104,105,legato
106,108,legato
109.5,112,legato
112,113,legato
114,114.5,legato
115,115.5,legato
116,116.5,legato
116.5,117,legato
118,118.5,legato
119,119.5,legato
120,120.5,legato
120.5,121,legato
125.5,126,legato
126,126.5,legato
127,127.5,legato
127.5,128,legato
128,128.5,legato
128.5,129,legato
129,129.5,legato
129.5,130,legato
130,132,legato
132,134.5,legato
134.75,136,legato
144,146,legato
152,153,legato
153,154,legato
154,155,legato
156,158,legato
173.5,174,legato
174.5,176,legato
176,177,legato
177.5,178,legato
178.5,180,legato
180,181,legato
181,182,legato
182,183,legato
183,184,legato
188,188.5,legato
189,189.5,legato
190,190.5,legato
191,191.5,legato
194.25,195,legato
195,195.5,legato
203,204,legato
11,11.5,staccato
11.5,12,staccato
13,14,staccato
58.75,59,staccato
62.5,62.75,staccato
62.75,63,staccato
63.5,63.75,staccato
71.5,72,staccato
72,72.5,staccato
79,79.25,staccato
79.25,79.5,staccato
79.5,79.75,staccato
79.75,80,staccato
97.5,97.75,staccato
97.75,98,staccato
98,98.5,staccato
99,99.5,staccato
99.5,100,staccato
105.5,105.75,staccato
105.75,106,staccato
106,106.5,staccato
106.5,107,staccato
107,107.5,staccato
107.5,108,staccato
113.5,113.75,staccato
113.75,114,staccato
114.5,114.75,staccato
114.75,115,staccato
115.5,115.75,staccato
115.75,116,staccato
117,117.5,staccato
117.5,117.75,staccato
117.75,118,staccato
118.5,118.75,staccato
118.75,119,staccato
119.5,119.75,staccato
119.75,120,staccato
134.5,134.75,staccato
134.75,135,staccato
144,145,staccato
145,146,staccato
146,147,staccato
174,174.5,staccato
174.5,175,staccato
175,175.5,staccato
175.5,176,staccato
178,178.5,staccato
178.5,179,staccato
179,179.5,staccato
179.5,180,staccato
188.5,188.75,staccato
188.75,189,staccato
189.5,189.75,staccato
189.75,190,staccato
190.5,190.75,staccato
190.75,191,staccato
191.5,191.75,staccato
191.75,192,staccato
195.5,195.75,staccato
195.75,196,staccato
196,196.25,staccato
196.25,196.5,staccato
196.5,196.75,staccato
196.75,197,staccato
197,197.25,staccato
197.25,197.5,staccato
197.5,197.75,staccato
197.75,198,staccato
198,198.25,staccato
198.25,198.5,staccato
198.5,198.75,staccato
198.75,199,staccato
199,199.25,staccato
199.25,199.5,staccato
199.5,199.75,staccato
199.75,200,staccato
152,152.5,accent
153,153.5,accent
154,154.5,accent
192,194,accent
201,203,accent
8,9,cresc
24.5,28,cresc
64,65,dim
66,67,dim
68,69,dim
73,76,dim
78,80,cresc
80,82,dim
82,84,cresc
84,86,dim
86,88,cresc
88,92,dim
101.75,103,cresc
103,103.5,dim
109.75,111,cresc
111,111.5,dim
125.5,130,cresc
164,168,cresc
168,172,dim
174,176,cresc
176,177,dim
178,180,cresc
