Onset,Offset,MIDI number,Pitch name,Duration,Staff,Measure,Beat in Measure
0.0,1.0,62,D4,1.0,0,0,0.0
0.0,1.0,71,B4,1.0,0,0,0.0
0.0,1.0,79,G5,1.0,0,0,0.0
1.0,2.5,79,G5,1.5,0,0,1.0
2.5,2.75,78,F#5,0.25,0,0,2.5
2.75,3.0,79,G5,0.25,0,0,2.75
3.0,3.25,78,F#5,0.25,0,0,3.0
3.25,3.5,79,G5,0.25,0,0,3.25
3.5,3.75,78,F#5,0.25,0,0,3.5
3.75,4.0,79,G5,0.25,0,0,3.75
4.0,5.0,74,D5,1.0,0,1,0.0
5.0,6.5,74,D5,1.5,0,1,1.0
6.5,6.75,73,C#5,0.25,0,1,2.5
6.75,7.0,74,D5,0.25,0,1,2.75
7.0,7.25,73,C#5,0.25,0,1,3.0
7.25,7.5,74,D5,0.25,0,1,3.25
7.5,7.75,73,C#5,0.25,0,1,3.5
7.75,8.0,74,D5,0.25,0,1,3.75
8.0,8.5,72,C5,0.5,0,2,0.0
8.5,9.0,71,B4,0.5,0,2,0.5
9.0,10.5,71,B4,1.5,0,2,1.0
10.5,11.0,72,C5,0.5,0,2,2.5
11.0,11.5,74,D5,0.5,0,2,3.0
11.5,12.0,76,E5,0.5,0,2,3.5
12.0,12.5,67,G4,0.5,0,3,0.0
12.5,13.0,66,F#4,0.5,0,3,0.5
13.0,14.0,66,F#4,1.0,0,3,1.0
16.0,18.0,81,A5,2.0,0,4,0.0
16.0,17.0,69,A4,1.0,0,4,0.0
16.0,17.0,62,D4,1.0,0,4,0.0
18.0,18.25,81,A5,0.25,0,4,2.0
18.25,18.5,79,G5,0.25,0,4,2.25
18.5,18.75,78,F#5,0.25,0,4,2.5
18.75,19.0,79,G5,0.25,0,4,2.75
19.0,19.25,81,A5,0.25,0,4,3.0
19.25,19.5,83,B5,0.25,0,4,3.25
19.5,19.75,81,A5,0.25,0,4,3.5
19.75,20.0,83,B5,0.25,0,4,3.75
20.0,20.75,84,C6,0.75,0,5,0.0
20.75,21.0,81,A5,0.25,0,5,0.75
21.0,22.75,84,C6,1.75,0,5,1.0
22.75,23.0,81,A5,0.25,0,5,2.75
23.0,24.5,84,C6,1.5,0,5,3.0
24.5,25.0,83,B5,0.5,0,6,0.5
25.0,25.5,81,A5,0.5,0,6,1.0
25.5,26.0,83,B5,0.5,0,6,1.5
26.0,26.5,81,A5,0.5,0,6,2.0
26.5,27.0,79,G5,0.5,0,6,2.5
27.0,27.5,78,F#5,0.5,0,6,3.0
27.5,28.0,76,E5,0.5,0,6,3.5
28.0,29.5,74,D5,1.5,0,7,0.0
29.5,30.0,76,E5,0.5,0,7,1.5
30.0,31.5,72,C5,1.5,0,7,2.0
31.5,32.0,74,D5,0.5,0,7,3.5
32.0,33.5,71,B4,1.5,0,8,0.0
33.5,34.0,72,C5,0.5,0,8,1.5
34.0,35.5,69,A4,1.5,0,8,2.0
35.5,36.0,76,E5,0.5,0,8,3.5
36.0,39.0,67,G4,3.0,0,9,0.0
39.0,39.5,71,B4,0.5,0,9,3.0
39.5,40.0,69,A4,0.5,0,9,3.5
40.0,41.0,67,G4,1.0,0,10,0.0
44.0,46.0,79,G5,2.0,0,11,0.0
46.0,47.0,83,B5,1.0,0,11,2.0
47.0,48.0,86,D6,1.0,0,11,3.0
48.0,50.0,86,D6,2.0,0,12,0.0
50.0,50.25,85,C#6,0.25,0,12,2.0
50.25,50.5,86,D6,0.25,0,12,2.25
50.5,50.75,85,C#6,0.25,0,12,2.5
50.75,51.0,86,D6,0.25,0,12,2.75
51.0,51.5,86,D6,0.5,0,12,3.0
51.5,51.75,84,C6,0.25,0,12,3.5
51.75,52.0,83,B5,0.25,0,12,3.75
52.0,53.0,80,G#5,1.0,0,13,0.0
53.0,54.0,81,A5,1.0,0,13,1.0
54.0,54.25,73,C#5,0.25,0,13,2.0
54.25,54.5,74,D5,0.25,0,13,2.25
54.5,54.75,73,C#5,0.25,0,13,2.5
54.75,55.0,74,D5,0.25,0,13,2.75
55.0,55.5,74,D5,0.5,0,13,3.0
55.5,55.75,72,C5,0.25,0,13,3.5
55.75,56.0,71,B4,0.25,0,13,3.75
56.0,57.0,68,G#4,1.0,0,14,0.0
57.0,58.0,69,A4,1.0,0,14,1.0
58.75,59.0,74,D5,0.25,0,14,2.75
59.0,59.5,78,F#5,0.5,0,14,3.0
59.5,60.0,83,B5,0.5,0,14,3.5
60.0,60.5,81,A5,0.5,0,15,0.0
60.5,61.0,79,G5,0.5,0,15,0.5
61.0,62.5,79,G5,1.5,0,15,1.0
62.5,62.75,81,A5,0.25,0,15,2.5
62.75,63.0,83,B5,0.25,0,15,2.75
63.0,63.25,81,A5,0.25,0,15,3.0
63.25,63.5,79,G5,0.25,0,15,3.25
63.5,63.75,78,F#5,0.25,0,15,3.5
63.75,64.0,76,E5,0.25,0,15,3.75
64.0,64.5,74,D5,0.5,0,16,0.0
64.5,65.0,73,C#5,0.5,0,16,0.5
66.0,66.5,73,C#5,0.5,0,16,2.0
66.5,67.0,74,D5,0.5,0,16,2.5
68.0,68.5,75,D#5,0.5,0,17,0.0
68.5,69.0,76,E5,0.5,0,17,0.5
70.0,70.25,76,E5,0.25,0,17,2.0
70.25,70.5,79,G5,0.25,0,17,2.25
70.5,70.75,78,F#5,0.25,0,17,2.5
70.75,71.0,81,A5,0.25,0,17,2.75
71.0,71.5,79,G5,0.5,0,17,3.0
71.5,72.0,67,G4,0.5,0,17,3.5
72.0,72.5,66,F#4,0.5,0,18,0.0
72.5,73.0,81,A5,0.5,0,18,0.5
73.0,73.5,79,G5,0.5,0,18,1.0
73.5,74.0,78,F#5,0.5,0,18,1.5
74.0,74.5,76,E5,0.5,0,18,2.0
74.5,75.0,74,D5,0.5,0,18,2.5
75.0,75.5,73,C#5,0.5,0,18,3.0
75.5,76.0,72,C5,0.5,0,18,3.5
76.0,78.5,71,B4,2.5,0,19,0.0
78.5,78.75,73,C#5,0.25,0,19,2.5
78.75,79.0,75,D#5,0.25,0,19,2.75
79.0,79.25,76,E5,0.25,0,19,3.0
79.25,79.5,78,F#5,0.25,0,19,3.25
79.5,79.75,79,G5,0.25,0,19,3.5
79.75,80.0,81,A5,0.25,0,19,3.75
80.0,80.25,83,B5,0.25,0,20,0.0
80.25,80.5,85,C#6,0.25,0,20,0.25
80.5,80.75,86,D6,0.25,0,20,0.5
80.75,81.0,85,C#6,0.25,0,20,0.75
81.0,81.25,83,B5,0.25,0,20,1.0
81.25,81.5,81,A5,0.25,0,20,1.25
81.5,81.75,79,G5,0.25,0,20,1.5
81.75,82.0,78,F#5,0.25,0,20,1.75
82.0,82.25,76,E5,0.25,0,20,2.0
82.25,82.5,75,D#5,0.25,0,20,2.25
82.5,82.75,76,E5,0.25,0,20,2.5
82.75,83.0,78,F#5,0.25,0,20,2.75
83.0,83.25,79,G5,0.25,0,20,3.0
83.25,83.5,81,A5,0.25,0,20,3.25
83.5,83.75,83,B5,0.25,0,20,3.5
83.75,84.0,82,A#5,0.25,0,20,3.75
84.0,84.25,83,B5,0.25,0,21,0.0
84.25,84.5,85,C#6,0.25,0,21,0.25
84.5,84.75,86,D6,0.25,0,21,0.5
84.75,85.0,85,C#6,0.25,0,21,0.75
85.0,85.25,83,B5,0.25,0,21,1.0
85.25,85.5,81,A5,0.25,0,21,1.25
85.5,85.75,79,G5,0.25,0,21,1.5
85.75,86.0,78,F#5,0.25,0,21,1.75
86.0,86.25,76,E5,0.25,0,21,2.0
86.25,86.5,75,D#5,0.25,0,21,2.25
86.5,86.75,76,E5,0.25,0,21,2.5
86.75,87.0,78,F#5,0.25,0,21,2.75
87.0,87.25,79,G5,0.25,0,21,3.0
87.25,87.5,81,A5,0.25,0,21,3.25
87.5,87.75,83,B5,0.25,0,21,3.5
87.75,88.0,82,A#5,0.25,0,21,3.75
88.0,89.0,83,B5,1.0,0,22,0.0
89.0,90.0,79,G5,1.0,0,22,1.0
90.0,91.5,76,E5,1.5,0,22,2.0
91.5,92.0,74,D5,0.5,0,22,3.5
92.0,93.0,73,C#5,1.0,0,23,0.0
97.5,97.75,81,A5,0.25,0,24,1.5
97.75,98.0,81,A5,0.25,0,24,1.75
98.0,98.5,81,A5,0.5,0,24,2.0
98.5,99.0,80,G#5,0.5,0,24,2.5
99.0,99.5,81,A5,0.5,0,24,3.0
99.5,100.0,80,G#5,0.5,0,24,3.5
100.0,101.0,81,A5,1.0,0,25,0.0
101.5,102.0,86,D6,0.5,0,25,1.5
102.0,102.5,85,C#6,0.5,0,25,2.0
102.5,103.0,86,D6,0.5,0,25,2.5
103.0,103.5,78,F#5,0.5,0,25,3.0
103.5,104.0,83,B5,0.5,0,25,3.5
104.0,104.5,81,A5,0.5,0,26,0.0
104.5,105.0,79,G5,0.5,0,26,0.5
105.5,105.75,79,G5,0.25,0,26,1.5
105.75,106.0,79,G5,0.25,0,26,1.75
106.0,106.5,79,G5,0.5,0,26,2.0
106.5,107.0,78,F#5,0.5,0,26,2.5
107.0,107.5,79,G5,0.5,0,26,3.0
107.5,108.0,78,F#5,0.5,0,26,3.5
108.0,109.0,79,G5,1.0,0,27,0.0
109.5,110.0,87,D#6,0.5,0,27,1.5
110.0,110.5,88,E6,0.5,0,27,2.0
110.5,111.0,80,G#5,0.5,0,27,2.5
111.0,111.5,81,A5,0.5,0,27,3.0
111.5,112.0,76,E5,0.5,0,27,3.5
112.0,112.5,79,G5,0.5,0,28,0.0
112.5,113.0,78,F#5,0.5,0,28,0.5
113.5,113.75,81,A5,0.25,0,28,1.5
113.75,114.0,78,F#5,0.25,0,28,1.75
114.0,114.25,74,D5,0.25,0,28,2.0
114.25,114.5,69,A4,0.25,0,28,2.25
114.5,114.75,66,F#4,0.25,0,28,2.5
114.75,115.0,62,D4,0.25,0,28,2.75
115.0,115.25,67,G4,0.25,0,28,3.0
115.25,115.5,64,E4,0.25,0,28,3.25
115.5,115.75,61,C#4,0.25,0,28,3.5
115.75,116.0,57,A3,0.25,0,28,3.75
116.0,116.25,66,F#4,0.25,0,29,0.0
116.25,116.5,62,D4,0.25,0,29,0.25
116.5,116.75,67,G4,0.25,0,29,0.5
116.75,117.0,64,E4,0.25,0,29,0.75
117.0,117.5,69,A4,0.5,0,29,1.0
117.5,117.75,81,A5,0.25,0,29,1.5
117.75,118.0,78,F#5,0.25,0,29,1.75
118.0,118.25,74,D5,0.25,0,29,2.0
118.25,118.5,69,A4,0.25,0,29,2.25
118.5,118.75,66,F#4,0.25,0,29,2.5
118.75,119.0,62,D4,0.25,0,29,2.75
119.0,119.25,67,G4,0.25,0,29,3.0
119.25,119.5,64,E4,0.25,0,29,3.25
119.5,119.75,61,C#4,0.25,0,29,3.5
119.75,120.0,57,A3,0.25,0,29,3.75
120.0,120.25,66,F#4,0.25,0,30,0.0
120.25,120.5,62,D4,0.25,0,30,0.25
120.5,120.75,67,G4,0.25,0,30,0.5
120.75,121.0,64,E4,0.25,0,30,0.75
121.0,121.5,69,A4,0.5,0,30,1.0
125.5,125.75,69,A4,0.25,0,31,1.5
125.75,126.0,66,F#4,0.25,0,31,1.75
126.0,126.25,71,B4,0.25,0,31,2.0
126.25,126.5,67,G4,0.25,0,31,2.25
126.5,126.75,73,C#5,0.25,0,31,2.5
126.75,127.0,69,A4,0.25,0,31,2.75
127.0,127.25,74,D5,0.25,0,31,3.0
127.25,127.5,69,A4,0.25,0,31,3.25
127.5,127.75,76,E5,0.25,0,31,3.5
127.75,128.0,73,C#5,0.25,0,31,3.75
128.0,128.25,78,F#5,0.25,0,32,0.0
128.25,128.5,74,D5,0.25,0,32,0.25
128.5,128.75,79,G5,0.25,0,32,0.5
128.75,129.0,76,E5,0.25,0,32,0.75
129.0,129.25,81,A5,0.25,0,32,1.0
129.25,129.5,78,F#5,0.25,0,32,1.25
129.5,129.75,82,A#5,0.25,0,32,1.5
129.75,130.0,78,F#5,0.25,0,32,1.75
130.0,131.0,83,B5,1.0,0,32,2.0
131.0,132.0,86,D6,1.0,0,32,3.0
132.0,134.25,76,E5,2.25,0,33,0.0
134.25,134.5,78,F#5,0.25,0,33,2.25
134.5,134.75,79,G5,0.25,0,33,2.5
134.75,135.0,78,F#5,0.25,0,33,2.75
135.0,135.5,79,G5,0.5,0,33,3.0
135.5,135.75,78,F#5,0.25,0,33,3.5
135.75,136.0,76,E5,0.25,0,33,3.75
136.0,137.0,74,D5,1.0,0,34,0.0
140.0,142.0,62,D4,2.0,0,35,0.0
142.0,144.0,64,E4,2.0,0,35,2.0
144.0,145.0,66,F#4,1.0,0,36,0.0
145.0,146.0,67,G4,1.0,0,36,1.0
146.0,147.0,64,E4,1.0,0,36,2.0
148.0,148.5,62,D4,0.5,0,37,0.0
148.5,148.75,64,E4,0.25,0,37,0.5
148.75,149.0,66,F#4,0.25,0,37,0.75
149.0,149.25,67,G4,0.25,0,37,1.0
149.25,149.5,69,A4,0.25,0,37,1.25
149.5,149.75,71,B4,0.25,0,37,1.5
149.75,150.0,73,C#5,0.25,0,37,1.75
150.0,150.25,74,D5,0.25,0,37,2.0
150.25,150.5,76,E5,0.25,0,37,2.25
150.5,150.75,78,F#5,0.25,0,37,2.5
150.75,151.0,79,G5,0.25,0,37,2.75
151.0,151.25,81,A5,0.25,0,37,3.0
151.25,151.5,83,B5,0.25,0,37,3.25
151.5,151.75,85,C#6,0.25,0,37,3.5
151.75,152.0,86,D6,0.25,0,37,3.75
152.0,152.5,86,D6,0.5,0,38,0.0
152.5,152.75,83,B5,0.25,0,38,0.5
153.0,153.5,83,B5,0.5,0,38,1.0
153.5,153.75,79,G5,0.25,0,38,1.5
154.0,154.5,79,G5,0.5,0,38,2.0
154.5,154.75,76,E5,0.25,0,38,2.5
156.0,156.25,78,F#5,0.25,0,39,0.0
156.25,156.5,79,G5,0.25,0,39,0.25
156.5,156.75,81,A5,0.25,0,39,0.5
156.75,157.0,83,B5,0.25,0,39,0.75
157.0,157.25,81,A5,0.25,0,39,1.0
157.25,157.5,83,B5,0.25,0,39,1.25
157.5,157.75,85,C#6,0.25,0,39,1.5
157.75,158.0,86,D6,0.25,0,39,1.75
158.0,160.0,76,E5,2.0,0,39,2.0
160.0,161.0,74,D5,1.0,0,40,0.0
164.0,173.0,81,A5,9.0,0,41,0.0
173.5,173.75,86,D6,0.25,0,43,1.5
173.75,174.0,85,C#6,0.25,0,43,1.75
174.0,174.5,86,D6,0.5,0,43,2.0
174.5,175.0,86,D6,0.5,0,43,2.5
175.0,175.5,86,D6,0.5,0,43,3.0
175.5,176.0,86,D6,0.5,0,43,3.5
176.0,176.125,86,D6,0.125,0,44,0.0
176.125,176.25,88,E6,0.125,0,44,0.125
176.25,177.0,90,F#6,0.75,0,44,0.25
177.5,177.75,86,D6,0.25,0,44,1.5
177.75,178.0,85,C#6,0.25,0,44,1.75
178.0,178.5,86,D6,0.5,0,44,2.0
178.5,179.0,86,D6,0.5,0,44,2.5
179.0,179.5,86,D6,0.5,0,44,3.0
179.5,180.0,86,D6,0.5,0,44,3.5
180.0,180.125,86,D6,0.125,0,45,0.0
180.125,180.25,88,E6,0.125,0,45,0.125
180.25,181.0,90,F#6,0.75,0,45,0.25
181.0,181.125,83,B5,0.125,0,45,1.0
181.125,181.25,85,C#6,0.125,0,45,1.125
181.25,182.0,86,D6,0.75,0,45,1.25
182.0,182.125,79,G5,0.125,0,45,2.0
182.125,182.25,81,A5,0.125,0,45,2.125
182.25,183.0,83,B5,0.75,0,45,2.25
